domain,date_collected,domain_length,shannon_entropy,digit_ratio,hyphen_count,vowel_consonant_ratio,ngram_score,tld_risk_category,typosquatting_similarity,longest_consonant_run,unique_char_ratio,resolves_flag,rcode,num_a_records,min_ttl,mx_count,num_ns,has_spf,cname_present,num_aaaa_records,asn,geo_country,ptr_present,registrar,domain_age_days,registration_duration_days,privacy_protection_flag,abuseipdb_score,spamhaus_zen_listed,spamhaus_dbl_listed,mx_spamhaus_zen_listed,label,label_reason
omzscdzw.com,2026-07-23,12,2.75,0.0,0,0.14285714285714285,-9.882861538461539,low,0.5,7,0.875,False,NOERROR,0,,0,2,False,False,0,,,,TuringSign Inc. d/b/a Cosmotown,2,365,False,,,False,,benign,no_adverse_signal
a4878.com,2026-07-23,9,1.9219280948873623,0.4444444444444444,0,1.0,-11.704585714285715,low,0.25,0,0.8,True,NOERROR,2,3600,2,2,True,False,0,16509,US,True,"GoDaddy.com, LLC",2,365,False,16,False,False,False,benign,no_adverse_signal
hakim4dl.com,2026-07-23,12,3.0,0.08333333333333333,0,0.4,-9.222507692307692,low,0.5,2,1.0,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,Dominet (HK) Limited,2,365,False,0,False,False,,benign,no_adverse_signal
spahr.top,2026-07-23,9,2.321928094887362,0.0,0,0.25,-7.776028571428571,high,0.6154,2,1.0,True,NOERROR,2,300,0,2,False,False,0,16509,US,True,"Spaceship, Inc.",2,365,True,14,False,False,,benign,no_adverse_signal
urkala.online,2026-07-23,13,2.251629167387823,0.0,0,1.0,-6.910344444444444,medium,0.5455,2,0.8333333333333334,True,NOERROR,1,3600,2,2,True,False,1,197695,RU,True,Registrar of Domain Names REG.RU LLC,2,365,False,0,False,False,False,benign,no_adverse_signal
streamx488.sbs,2026-07-23,14,3.1219280948873624,0.21428571428571427,0,0.4,-8.561029411764705,low,0.5263,3,0.9,True,NOERROR,1,300,0,2,False,False,0,32489,CA,True,"NameSilo, LLC",2,365,True,0,False,False,,benign,no_adverse_signal
mytozzi.com,2026-07-23,11,2.521640636343318,0.0,0,0.4,-8.461409090909092,low,0.5714,3,0.8571428571428571,True,NOERROR,4,600,0,3,False,False,0,15169,US,True,"Gabia, Inc.",1,365,False,0,False,False,,benign,no_adverse_signal
johnpersinger.com,2026-07-23,17,3.238901256602631,0.0,0,0.4444444444444444,-6.9763,low,0.6667,3,0.7692307692307693,True,NOERROR,2,3600,0,2,False,False,0,16509,US,True,"GoDaddy.com, LLC",1,1096,False,23,False,False,,benign,no_adverse_signal
felnora.org,2026-07-23,11,2.807354922057604,0.0,0,0.75,-7.223663636363637,low,0.5333,2,1.0,False,NOERROR,0,,0,2,False,False,0,,,,"Cloudflare, Inc.",1,365,False,,,False,,benign,no_adverse_signal
hdx01490164c.app,2026-07-23,16,3.084962500721156,0.5,0,0.0,-11.111109523809525,low,0.2727,3,0.75,False,NOERROR,0,,0,2,False,False,0,,,,,,,False,,,False,,benign,no_adverse_signal
simbanka.com,2026-07-23,12,2.75,0.0,0,0.6,-6.887023076923077,low,0.625,2,0.875,False,NOERROR,0,,0,2,False,False,0,,,,TuringSign Inc. d/b/a Cosmotown,2,365,False,,,False,,benign,no_adverse_signal
relivedeu.shop,2026-07-23,14,2.6416041678685933,0.0,0,1.25,-6.611140000000001,low,0.6316,1,0.7777777777777778,True,NOERROR,1,1800,5,2,True,False,0,16509,SG,True,,,,False,0,False,False,False,benign,no_adverse_signal
2khm.shop,2026-07-23,9,2.0,0.1111111111111111,0,0.0,-11.13356,low,0.5,3,1.0,True,NOERROR,6,60,0,2,False,True,0,8075,KR,False,,,,False,0,True,True,,malicious,spamhaus_zen
corbanlafon.com,2026-07-23,15,2.9139770731827523,0.0,0,0.5714285714285714,-6.958121052631578,low,0.5556,2,0.7272727272727273,False,NOERROR,0,,0,2,False,False,0,,,,"Cloudflare, Inc.",1,365,True,,,False,,benign,no_adverse_signal
izequielferreira.com.br,2026-07-23,23,2.9056390622295662,0.0,0,1.2857142857142858,-7.624213793103449,low,0.4444,2,0.5625,True,NOERROR,2,60,0,2,False,False,2,47583,FR,False,,2,365,False,0,False,False,,benign,no_adverse_signal
hunterdonhomesolutions.com,2026-07-23,26,3.4251185503571393,0.0,0,0.6923076923076923,-6.517960975609756,low,0.5238,2,0.5454545454545454,True,NOERROR,2,3600,2,2,True,False,0,16509,US,True,"GoDaddy.com, LLC",2,1096,False,22,False,False,False,benign,no_adverse_signal
tkbrich-bet.com,2026-07-23,15,3.0957952550009344,0.0,1,0.25,-7.821300000000001,low,0.5556,4,0.8181818181818182,True,NOERROR,2,600,0,2,False,False,0,16509,US,True,"GoDaddy.com, LLC",2,365,False,35,False,False,,benign,no_adverse_signal
fongimports.com,2026-07-23,15,3.2776134368191165,0.0,0,0.375,-6.629157894736842,low,0.5263,3,0.9090909090909091,True,NOERROR,2,3600,2,2,True,False,0,16509,US,True,"GoDaddy.com, LLC",2,365,False,23,False,False,False,benign,no_adverse_signal
norfolkstandard.com,2026-07-23,19,3.2402239289418526,0.0,0,0.36363636363636365,-6.8840407407407405,low,0.5217,4,0.6666666666666666,True,NOERROR,2,300,3,2,False,False,2,13335,US,False,REGISTER S.P.A.,2,365,True,0,False,False,False,benign,no_adverse_signal
osmo360.org,2026-07-23,11,2.5216406363433186,0.2727272727272727,0,1.0,-8.514818181818182,low,0.6,2,0.8571428571428571,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,DYNADOT LLC,2,365,True,0,False,False,,benign,no_adverse_signal
o-direction.com,2026-07-23,15,3.0957952550009344,0.0,1,1.0,-6.612626315789473,low,0.5714,2,0.8181818181818182,True,NOERROR,1,1800,5,2,True,False,0,22612,US,False,NAMECHEAP INC,2,731,True,0,False,False,False,benign,no_adverse_signal
xkillensmediadeliver.info,2026-07-23,25,3.346439344671015,0.0,0,0.6666666666666666,-6.675567567567568,medium,0.5,3,0.6,True,NOERROR,2,300,1,2,True,False,2,13335,US,False,,,,,0,False,False,False,benign,no_adverse_signal
johnnyni.com,2026-07-23,12,2.4056390622295662,0.0,0,0.3333333333333333,-8.584161538461538,low,0.4286,5,0.75,False,NOERROR,0,,5,2,True,False,0,,,,"Cloudflare, Inc.",2,365,True,,,False,False,benign,no_adverse_signal
fatouseck.com,2026-07-23,13,3.169925001442312,0.0,0,0.8,-6.6548533333333335,low,0.5882,2,1.0,True,NOERROR,2,25,0,2,False,False,0,14618,US,True,"ENOM, INC.",1,365,True,0,False,False,,benign,no_adverse_signal
prime-prospect.com,2026-07-23,18,3.182005814760214,0.0,1,0.4444444444444444,-6.7495519999999996,low,0.5833,2,0.7142857142857143,True,NOERROR,2,3600,0,2,False,False,0,16509,US,True,"GoDaddy.com, LLC",1,365,False,16,False,False,,benign,no_adverse_signal
