domain,date_collected,domain_length,shannon_entropy,digit_ratio,hyphen_count,vowel_consonant_ratio,ngram_score,tld_risk_category,typosquatting_similarity,longest_consonant_run,unique_char_ratio,resolves_flag,rcode,num_a_records,min_ttl,mx_count,num_ns,has_spf,cname_present,num_aaaa_records,asn,geo_country,ptr_present,registrar,domain_age_days,registration_duration_days,privacy_protection_flag,abuseipdb_score,spamhaus_zen_listed,spamhaus_dbl_listed,mx_spamhaus_zen_listed,label,label_reason
fittnesshome.store,2026-07-14,18,3.084962500721156,0.0,0,0.5,-6.8082095238095235,low,0.48,3,0.75,True,NOERROR,1,7200,0,4,False,False,1,13335,CA,True,,,,False,0,False,False,,benign,no_adverse_signal
daily-iqiyi.com,2026-07-14,15,2.5503407095463886,0.0,1,1.0,-8.528110526315789,low,0.5455,2,0.6363636363636364,False,NOERROR,0,,0,2,False,False,0,,,,"GMO Internet, Inc.",2,365,True,,,False,,benign,no_adverse_signal
cherryandpearls.com,2026-07-14,19,3.3232314287976203,0.0,0,0.36363636363636365,-7.054433333333333,low,0.5217,3,0.7333333333333333,True,NOERROR,3,3600,0,2,False,False,0,58182,US,True,Wix.com Ltd.,1,365,False,12,False,False,,benign,no_adverse_signal
atomicals.ai,2026-07-14,12,2.94770277922009,0.0,0,0.8,-6.303126666666667,low,0.625,2,0.8888888888888888,True,NOERROR,2,3600,1,2,True,False,0,16509,US,True,"GoDaddy.com, LLC",5,731,True,64,False,False,,malicious,abuseipdb
pasar88rp.com,2026-07-14,13,2.2810361125534238,0.15384615384615385,0,0.4,-8.789306666666667,low,0.5333,2,0.5555555555555556,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,Dominet (HK) Limited,2,365,False,0,False,False,,benign,no_adverse_signal
zhizhupaiyouximfdanjban.com.cn,2026-07-14,30,3.7622673906514947,0.0,0,0.6428571428571429,-8.532844186046512,low,0.3889,3,0.6521739130434783,True,NOERROR,1,300,0,2,False,False,0,132839,HK,False,长春市智绘网络科技有限公司,15,365,False,0,False,False,,benign,no_adverse_signal
ingeniumvc.net,2026-07-14,14,2.9219280948873623,0.0,0,0.6666666666666666,-7.353452941176471,low,0.625,3,0.8,False,NOERROR,0,,2,4,True,False,0,,,,Porkbun LLC,2,365,False,,,False,False,benign,no_adverse_signal
huatihui-app-365.com.cn,2026-07-14,23,3.25,0.13043478260869565,2,1.2,-8.336089655172414,low,0.5,2,0.625,True,NOERROR,1,600,0,2,False,False,0,134548,US,False,Web Commerce Communications Limited,9,365,False,0,False,False,,benign,no_adverse_signal
tcfooring.com,2026-07-14,13,2.94770277922009,0.0,0,0.5,-7.05708,low,0.625,3,0.8888888888888888,False,NOERROR,0,,3,2,True,False,0,,,,"Cloudflare, Inc.",2,365,True,,,False,False,benign,no_adverse_signal
kyanode.xyz,2026-07-14,11,2.807354922057604,0.0,0,0.75,-7.073690909090908,high,0.7692,2,1.0,True,NOERROR,2,3600,1,2,True,False,0,16509,US,True,"GMO Internet, Inc.",1,365,True,28,False,False,,benign,no_adverse_signal
dyson888.xyz,2026-07-14,12,2.4056390622295662,0.25,0,0.25,-8.125007692307692,high,0.4286,3,0.75,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,NAMECHEAP INC,2,365,True,0,False,False,,benign,no_adverse_signal
pefa.church,2026-07-14,11,2.0,0.0,0,1.0,-7.68818,low,0.6667,1,1.0,True,NOERROR,1,1799,5,2,True,False,0,24940,DE,True,,,,,0,False,False,False,benign,no_adverse_signal
zunlong-links.com.cn,2026-07-14,20,3.180832987205441,0.0,1,0.3333333333333333,-7.306517391304348,low,0.6,3,0.7692307692307693,True,NOERROR,1,600,0,2,False,False,0,132839,ZA,False,北京新网数码信息技术有限公司,2,365,False,0,False,False,,benign,no_adverse_signal
texasupclose.org,2026-07-14,16,3.2516291673878226,0.0,0,0.7142857142857143,-7.196361904761905,low,0.6316,3,0.8333333333333334,True,NOERROR,1,1800,5,2,True,False,0,22612,US,False,NAMECHEAP INC,2,365,True,0,False,False,False,benign,no_adverse_signal
khedharandfakehah.com,2026-07-14,21,2.7933451941915166,0.0,0,0.5454545454545454,-7.431767741935484,low,0.4516,3,0.47058823529411764,True,NOERROR,1,300,2,4,True,False,0,397273,US,False,IONOS SE,2,365,True,16,False,False,False,benign,no_adverse_signal
utverjdenie.ru,2026-07-14,14,3.027169118440619,0.0,0,0.8333333333333334,-7.950678947368422,low,0.5263,3,0.8181818181818182,True,NOERROR,1,86400,0,2,False,False,0,197695,RU,False,REGRU-RU,3,365,False,0,False,False,,benign,no_adverse_signal
apinaga400.shop,2026-07-14,15,2.6464393446710157,0.2,0,1.3333333333333333,-8.214735294117647,low,0.5263,1,0.7,True,NOERROR,2,60,2,2,True,False,2,47583,CY,False,,,,False,0,False,False,False,benign,no_adverse_signal
musang178ca.site,2026-07-14,16,3.277613436819116,0.1875,0,0.6,-8.604473684210527,medium,0.4444,2,0.9090909090909091,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,NAMECHEAP INC,2,365,True,0,False,False,,benign,no_adverse_signal
neoplayer4k20.me,2026-07-14,16,3.5465935642949384,0.1875,0,0.6666666666666666,-8.542830434782609,low,0.48,2,0.9230769230769231,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,NAMECHEAP INC,3,365,True,0,False,False,,benign,no_adverse_signal
bintangpajaktoto.com,2026-07-14,20,3.1556390622295662,0.0,0,0.6,-7.077072413793103,low,0.48,3,0.625,True,NOERROR,2,600,0,2,False,False,0,16509,US,True,"GoDaddy.com, LLC",2,365,True,36,False,False,,benign,no_adverse_signal
