domain,date_collected,domain_length,shannon_entropy,digit_ratio,hyphen_count,vowel_consonant_ratio,ngram_score,tld_risk_category,typosquatting_similarity,longest_consonant_run,unique_char_ratio,resolves_flag,rcode,num_a_records,min_ttl,mx_count,num_ns,has_spf,cname_present,num_aaaa_records,asn,geo_country,ptr_present,registrar,domain_age_days,registration_duration_days,privacy_protection_flag,abuseipdb_score,spamhaus_zen_listed,spamhaus_dbl_listed,mx_spamhaus_zen_listed,label,label_reason
grandenterprises.net,2026-07-11,20,3.1556390622295662,0.0,0,0.45454545454545453,-6.123844827586207,low,0.5217,3,0.625,False,NXDOMAIN,0,,0,0,False,False,0,,,,,,,,,,False,,benign,no_adverse_signal
cybertown.dev,2026-07-11,13,3.169925001442312,0.0,0,0.2857142857142857,-7.139686666666666,low,0.4706,3,1.0,True,NOERROR,2,300,1,2,True,False,2,13335,US,False,,,,False,0,False,False,False,benign,no_adverse_signal
idsjodhpur.in,2026-07-11,13,3.121928094887362,0.0,0,0.42857142857142855,-9.03670588235294,low,0.5714,3,0.9,True,NOERROR,1,600,0,2,False,False,0,16509,US,True,"GoDaddy.com, LLC",3,365,False,28,False,False,,benign,no_adverse_signal
sabinafritschagency.com,2026-07-11,23,3.5766176449086653,0.0,0,0.46153846153846156,-6.899408571428571,low,0.4516,4,0.6842105263157895,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,"GoDaddy.com, LLC",2,365,True,0,False,False,,benign,no_adverse_signal
gcgroupofcompanies.com,2026-07-11,22,3.5724312513221195,0.0,0,0.6363636363636364,-7.284221212121212,low,0.5455,4,0.7222222222222222,True,NOERROR,4,14400,0,8,False,False,0,53831,US,False,"GoDaddy.com, LLC",2,365,True,38,False,False,,benign,no_adverse_signal
evolvefriendlydating.com,2026-07-11,24,3.5841837197791886,0.0,0,0.5384615384615384,-7.113683783783784,low,0.4615,5,0.65,True,NOERROR,1,300,0,2,False,False,0,14618,US,True,TuringSign Inc. d/b/a Cosmotown,2,365,False,0,False,False,,benign,no_adverse_signal
xvwf3ru9.top,2026-07-11,12,3.0,0.16666666666666666,0,0.2,-11.236138461538461,high,0.3636,4,1.0,True,NOERROR,5,60,0,2,False,True,0,40065,US,False,Dominet (HK) Limited,2,365,True,0,False,False,,benign,no_adverse_signal
exxondigital.site,2026-07-11,17,3.2516291673878226,0.0,0,0.7142857142857143,-6.945566666666666,medium,0.5,2,0.8333333333333334,True,NOERROR,2,1800,0,2,False,False,0,16509,US,False,"Name.com, Inc.",2,365,False,0,False,False,,benign,no_adverse_signal
rosecitypa.com,2026-07-11,14,3.321928094887362,0.0,0,0.6666666666666666,-6.78635294117647,low,0.5,3,1.0,True,NOERROR,1,14400,1,4,True,False,0,53831,US,False,Squarespace Domains II LLC,741,1095,True,36,False,False,False,benign,no_adverse_signal
jwhw169.top,2026-07-11,11,2.5216406363433186,0.2727272727272727,0,0.0,-11.160390909090909,high,0.4,4,0.8571428571428571,True,NOERROR,5,60,0,2,False,True,0,40065,US,False,Gname.com Pte. Ltd.,2,365,True,0,False,False,,benign,no_adverse_signal
breathgenome.org,2026-07-11,16,3.188721875540867,0.0,0,0.7142857142857143,-6.8543,low,0.5263,3,0.8333333333333334,True,NOERROR,2,300,0,2,False,False,0,16509,US,True,"Spaceship, Inc.",2,365,False,1,False,False,,benign,no_adverse_signal
taskopsstudio.com,2026-07-11,17,3.0269868333592873,0.0,0,0.625,-7.1239608695652175,low,0.56,4,0.6923076923076923,True,NOERROR,1,1799,5,2,True,False,0,16509,US,False,NAMECHEAP INC,3,365,True,0,False,False,False,benign,no_adverse_signal
takemyloan.com,2026-07-11,14,3.121928094887362,0.0,0,0.6666666666666666,-7.422405882352941,low,0.5217,3,0.9,True,NOERROR,1,1800,5,2,True,False,0,22612,US,False,NAMECHEAP INC,2,365,True,0,False,False,False,benign,no_adverse_signal
veepeeenterprises.shop,2026-07-11,22,2.5785519909913264,0.0,0,0.8888888888888888,-6.597367741935484,low,0.5385,3,0.47058823529411764,True,NOERROR,2,600,0,2,False,False,0,16509,US,True,,,,False,0,False,False,,benign,no_adverse_signal
dunwoodypaintingpros.com,2026-07-11,24,3.546439344671015,0.0,0,0.5384615384615384,-7.0529918918918915,low,0.5,4,0.65,False,NOERROR,0,,0,2,False,False,0,,,,PDR Ltd. d/b/a PublicDomainRegistry.com,2,365,True,,,False,,benign,no_adverse_signal
4020427384623.click,2026-07-11,19,2.6612262562697895,0.6842105263157895,0,0.0,-11.101726086956521,medium,0.2222,0,0.5384615384615384,False,NXDOMAIN,0,,0,0,False,False,0,,,,Global Domain Group LLC,2,365,True,,,True,,malicious,spamhaus_dbl
millimetmhosretaliationist.beer,2026-07-11,31,3.272769892034794,0.0,0,0.7333333333333333,-6.591467346938775,low,0.4324,3,0.4230769230769231,True,NOERROR,1,3600,0,2,False,False,0,401701,HK,False,"Spaceship, Inc.",2,365,True,0,True,False,,malicious,spamhaus_zen
headlessrealestate.com,2026-07-11,22,2.7744019192887706,0.0,0,0.8,-6.316272727272728,low,0.4516,3,0.4444444444444444,True,NOERROR,2,600,0,2,False,False,0,16509,US,True,"GoDaddy.com, LLC",2,365,True,38,False,False,,benign,no_adverse_signal
sultan99.top,2026-07-11,12,2.75,0.16666666666666666,0,0.5,-7.962623076923077,high,0.5,2,0.875,True,NOERROR,1,14400,3,2,True,False,0,22612,US,True,NAMECHEAP INC,2,365,True,0,False,False,False,benign,no_adverse_signal
naturaldogau.com,2026-07-11,16,3.0220552088742,0.0,0,1.0,-6.894790476190477,low,0.5714,2,0.75,True,NOERROR,1,14400,0,3,False,False,0,45638,AU,True,Synergy Wholesale Accreditations Pty Ltd,2,365,True,0,False,False,,benign,no_adverse_signal
wxb8bm.surf,2026-07-11,11,2.2516291673878226,0.09090909090909091,0,0.0,-11.94378888888889,low,0.4444,3,0.8333333333333334,True,NOERROR,1,300,0,2,False,False,0,206834,DE,False,DYNADOT LLC,2,365,True,20,False,False,,benign,no_adverse_signal
realhisar.com,2026-07-11,13,2.725480556997868,0.0,0,0.8,-6.808726666666667,low,0.5333,2,0.7777777777777778,True,NOERROR,2,30,2,4,True,False,0,16509,US,True,Porkbun LLC,2,365,False,0,False,False,False,benign,no_adverse_signal
bullox.xyz,2026-07-11,10,2.2516291673878226,0.0,0,0.5,-7.276188888888888,high,0.6667,2,0.8333333333333334,True,NOERROR,1,50,0,2,False,False,0,47583,CY,False,"HOSTINGER operations, UAB",2,365,False,32,False,False,,benign,no_adverse_signal
workcurrentlabs.com,2026-07-11,19,3.5898980954642865,0.0,0,0.36363636363636365,-7.12427037037037,low,0.5455,3,0.8666666666666667,True,NOERROR,2,600,0,2,False,False,0,16509,US,True,"GoDaddy.com, LLC",2,365,True,38,False,False,,benign,no_adverse_signal
dogebothub.xyz,2026-07-11,14,2.9219280948873623,0.0,0,0.6666666666666666,-7.163076470588235,high,0.625,2,0.8,True,NOERROR,2,3600,1,2,True,False,0,16509,US,True,"GMO Internet, Inc.",2,365,True,26,False,False,,benign,no_adverse_signal
trustonchain.support,2026-07-11,20,3.2516291673878226,0.0,0,0.5,-6.26225238095238,low,0.5455,3,0.8333333333333334,False,NXDOMAIN,0,,0,0,False,False,0,,,,,,,,,,False,,benign,no_adverse_signal
