domain,date_collected,domain_length,shannon_entropy,digit_ratio,hyphen_count,vowel_consonant_ratio,ngram_score,tld_risk_category,typosquatting_similarity,longest_consonant_run,unique_char_ratio,resolves_flag,rcode,num_a_records,min_ttl,mx_count,num_ns,has_spf,cname_present,num_aaaa_records,asn,geo_country,ptr_present,registrar,domain_age_days,registration_duration_days,privacy_protection_flag,abuseipdb_score,spamhaus_zen_listed,spamhaus_dbl_listed,mx_spamhaus_zen_listed,label,label_reason
gptcache.xyz,2026-07-04,12,2.75,0.0,0,0.3333333333333333,-7.318461538461539,high,0.8,4,0.875,True,NOERROR,2,3600,1,2,True,False,0,16509,US,True,"GMO Internet, Inc.",2,365,True,71,False,False,,malicious,abuseipdb
4001896336.com,2026-07-04,14,2.7219280948873625,0.7142857142857143,0,0.0,-10.817023529411765,low,0.4615,0,0.7,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,Gname 143 Inc,2,365,False,0,False,False,,benign,no_adverse_signal
plutonsv.com,2026-07-04,12,3.0,0.0,0,0.3333333333333333,-6.766669230769231,low,0.5333,3,1.0,True,NOERROR,1,1800,1,2,True,False,0,22612,US,False,NAMECHEAP INC,3,365,True,0,False,False,False,benign,no_adverse_signal
zksynceradao.xyz,2026-07-04,16,3.4182958340544896,0.0,0,0.5,-7.457028571428571,high,0.6,6,0.9166666666666666,True,NOERROR,2,3600,1,2,True,False,0,16509,US,True,"GMO Internet, Inc.",2,365,True,29,False,False,,benign,no_adverse_signal
hx8-lvse.icu,2026-07-04,12,3.0,0.08333333333333333,1,0.2,-10.6729,low,0.5,3,1.0,False,NOERROR,0,,0,2,False,False,0,,,,"Zhengzhou Century Connect Electronic Technology Development Co., Ltd",2,365,False,,,False,,benign,no_adverse_signal
xxglkf.com,2026-07-04,10,2.2516291673878226,0.0,0,0.0,-10.376444444444445,low,0.4286,6,0.8333333333333334,False,timeout,0,,0,0,False,False,0,,,,DomainSails.net LLC,2,365,True,,,False,,benign,no_adverse_signal
wiyuvxrtq.icu,2026-07-04,13,3.169925001442312,0.0,0,0.2857142857142857,-10.36776,low,0.5,5,1.0,False,NOERROR,0,,0,2,False,False,0,,,,"Zhengzhou Century Connect Electronic Technology Development Co., Ltd",2,365,False,,,False,,benign,no_adverse_signal
maanasgroup.com,2026-07-04,15,3.027169118440619,0.0,0,0.8333333333333334,-7.054763157894738,low,0.5263,3,0.8181818181818182,True,NOERROR,2,600,0,2,False,False,0,16509,US,True,"GoDaddy.com, LLC",2,365,True,31,False,False,,benign,no_adverse_signal
calcperch.com,2026-07-04,13,2.6416041678685933,0.0,0,0.2857142857142857,-7.03376,low,0.5882,3,0.7777777777777778,True,NOERROR,2,300,3,2,True,False,2,13335,US,False,NAMECHEAP INC,2,365,True,0,False,False,False,benign,no_adverse_signal
jmtttt.cc,2026-07-04,9,1.2516291673878228,0.0,0,0.0,-9.27827777777778,low,0.4444,6,0.5,True,NOERROR,1,1,0,2,False,True,0,40065,US,False,"NameSilo, LLC",3,365,True,0,False,False,,benign,no_adverse_signal
ratinghub.co.nz,2026-07-04,15,3.169925001442312,0.0,0,0.5,-6.4239733333333335,low,0.5333,3,1.0,True,NOERROR,2,600,0,2,False,False,0,16509,US,True,Key-Systems GmbH,3,,False,37,False,False,,benign,no_adverse_signal
turbo-vpn.com.cn,2026-07-04,16,3.169925001442312,0.0,1,0.3333333333333333,-8.27722,low,0.5333,3,1.0,True,NOERROR,1,100,0,2,False,False,0,132839,CL,False,Web Commerce Communications Limited,3,365,False,0,False,False,,benign,no_adverse_signal
snoozpets.top,2026-07-04,13,2.725480556997868,0.0,0,0.5,-8.067173333333333,high,0.5882,2,0.7777777777777778,True,NOERROR,1,3600,1,4,True,False,1,48254,US,False,PDR Ltd,2,365,False,0,False,False,False,benign,no_adverse_signal
novosmineiros.com.br,2026-07-04,20,2.873140679513133,0.0,0,0.8571428571428571,-6.959999999999999,low,0.6087,2,0.6153846153846154,True,NOERROR,1,1800,2,2,True,False,1,47583,BR,False,,4,365,False,0,False,False,False,benign,no_adverse_signal
jpra-mt7xo.com,2026-07-04,14,3.321928094887362,0.07142857142857142,1,0.3333333333333333,-9.894347058823529,low,0.4,3,1.0,True,NOERROR,1,1800,0,5,False,False,0,16509,US,True,"ENOM, INC.",734,1095,True,0,False,False,,benign,no_adverse_signal
myeasyholidays.com,2026-07-04,18,3.182005814760214,0.0,0,0.5555555555555556,-7.367084,low,0.6087,3,0.7142857142857143,True,NOERROR,2,600,0,2,False,False,0,16509,US,True,"GoDaddy.com, LLC",3,365,True,37,False,False,,benign,no_adverse_signal
agentscenews.xyz,2026-07-04,16,2.8553885422075336,0.0,0,0.5,-6.327585714285714,high,0.48,4,0.6666666666666666,True,NOERROR,2,3600,1,2,True,False,0,16509,US,True,"GMO Internet, Inc.",2,365,True,71,False,False,,malicious,abuseipdb
uccoo.ru,2026-07-04,8,1.5219280948873621,0.0,0,1.5,-7.307771428571429,low,0.6,2,0.6,True,NOERROR,1,10800,0,2,False,False,0,197695,RU,False,REGRU-RU,3,365,False,0,False,False,,benign,no_adverse_signal
everybookmatters.digital,2026-07-04,24,3.327819531114783,0.0,0,0.6,-6.707713793103448,low,0.4615,3,0.6875,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,,,,,0,False,False,,benign,no_adverse_signal
sibayaktoto.biz,2026-07-04,15,2.913977073182752,0.0,0,0.8333333333333334,-7.208473684210527,low,0.5,2,0.7272727272727273,True,NOERROR,2,300,3,2,True,False,2,13335,US,False,NAMECHEAP INC,3,365,True,0,False,False,False,benign,no_adverse_signal
rpsouzastore.com,2026-07-04,16,3.0849625007211556,0.0,0,0.7142857142857143,-7.155404761904761,low,0.5455,3,0.75,True,NOERROR,1,10800,1,2,True,False,0,31898,BR,True,PDR Ltd. d/b/a PublicDomainRegistry.com,2,365,False,0,False,False,False,benign,no_adverse_signal
app88.site,2026-07-04,10,1.5219280948873621,0.2,0,0.5,-9.068642857142857,medium,0.6,2,0.6,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,DYNADOT LLC,2,365,True,0,False,False,,benign,no_adverse_signal
semeebourseasway.site,2026-07-04,21,3.077819531114783,0.0,0,1.0,-6.951786206896552,medium,0.4444,2,0.625,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,"NameSilo, LLC",2,365,True,0,False,False,,benign,no_adverse_signal
aurastuff.online,2026-07-04,16,2.503258334775646,0.0,0,0.8,-7.03896,medium,0.5714,2,0.6666666666666666,True,NOERROR,1,1800,5,2,True,False,0,22612,US,False,NAMECHEAP INC,2,365,True,0,False,False,False,benign,no_adverse_signal
growpulse.pro,2026-07-04,13,3.169925001442312,0.0,0,0.5,-7.569366666666667,low,0.5333,2,1.0,True,NOERROR,1,60,1,4,True,False,0,396982,US,True,,,,,0,False,False,False,benign,no_adverse_signal
causergpt.xyz,2026-07-04,13,3.169925001442312,0.0,0,0.5,-7.364999999999999,high,0.625,4,1.0,True,NOERROR,2,3600,1,2,True,False,0,16509,US,True,"GMO Internet, Inc.",2,365,True,29,False,False,,benign,no_adverse_signal
czsprhzlz.icu,2026-07-04,13,2.6416041678685933,0.0,0,0.0,-10.345886666666667,low,0.4,9,0.7777777777777778,False,NOERROR,0,,0,2,False,False,0,,,,"Zhengzhou Century Connect Electronic Technology Development Co., Ltd",2,365,False,,,False,,benign,no_adverse_signal
lvlvibeds.icu,2026-07-04,13,2.725480556997868,0.0,0,0.2857142857142857,-8.413966666666667,low,0.5333,4,0.7777777777777778,True,NOERROR,1,600,0,2,False,False,0,132839,HK,False,"Zhengzhou Century Connect Electronic Technology Development Co., Ltd",2,365,False,0,False,False,,benign,no_adverse_signal
kovisionco.uk,2026-07-04,13,2.6464393446710153,0.0,0,1.0,-6.620005882352941,low,0.5333,2,0.7,True,NOERROR,2,300,0,2,False,False,0,16509,US,False,"Cloudflare, Inc. [Tag = CLOUDFLARE]",4,365,False,0,,False,,benign,no_adverse_signal
exposomecenter.org,2026-07-04,18,3.09306920777189,0.0,0,0.75,-6.489588,low,0.5,2,0.7142857142857143,True,NOERROR,1,3600,2,4,True,False,1,8560,US,True,IONOS SE,2,365,False,0,False,False,False,benign,no_adverse_signal
45ovz.pro,2026-07-04,9,2.321928094887362,0.2222222222222222,0,0.5,-11.822785714285715,low,0.4444,2,1.0,True,NOERROR,1,3603,0,3,False,False,0,132839,US,False,,,,,0,False,False,,benign,no_adverse_signal
cafecitodesapendejador.shop,2026-07-04,27,3.481714572986072,0.0,0,0.8333333333333334,-6.968604878048781,low,0.4242,2,0.5909090909090909,True,NOERROR,1,1800,0,2,False,False,1,47583,US,False,,,,False,0,False,False,,benign,no_adverse_signal
odilon-chocolaterie.be,2026-07-04,22,3.40582225028569,0.0,1,1.0,-6.68146,low,0.4848,2,0.631578947368421,True,NOERROR,1,3600,4,2,True,False,1,51468,DK,True,,4,,False,0,False,False,False,benign,no_adverse_signal
microretail.xyz,2026-07-04,15,3.0957952550009344,0.0,0,0.8333333333333334,-6.421152631578948,high,0.6316,2,0.8181818181818182,True,NOERROR,2,3600,1,2,True,False,0,16509,US,True,"GMO Internet, Inc.",2,365,True,29,False,False,,benign,no_adverse_signal
sphereplatform.xyz,2026-07-04,18,3.3787834934861767,0.0,0,0.4,-6.7164719999999996,high,0.5455,3,0.7857142857142857,True,NOERROR,2,3600,1,2,True,False,0,16509,US,True,"GMO Internet, Inc.",3,365,True,71,False,False,,malicious,abuseipdb
3dinvent.xyz,2026-07-04,12,2.75,0.08333333333333333,0,0.4,-7.238938461538462,high,0.5333,2,0.875,True,NOERROR,2,3600,1,2,True,False,0,16509,US,True,"GMO Internet, Inc.",3,365,True,71,False,False,,malicious,abuseipdb
skglobaltours.com,2026-07-04,17,3.238901256602631,0.0,0,0.4444444444444444,-7.217030434782609,low,0.6087,4,0.7692307692307693,True,NOERROR,2,60,2,2,True,False,2,47583,DE,False,NAMECHEAP INC,2,365,True,1,False,False,False,benign,no_adverse_signal
combustion.help,2026-07-04,15,3.121928094887362,0.0,0,0.6666666666666666,-6.345599999999999,low,0.5882,2,0.9,True,NOERROR,2,600,0,2,False,False,0,16509,US,True,Key-Systems GmbH,2,365,True,37,False,False,,benign,no_adverse_signal
