domain,date_collected,domain_length,shannon_entropy,digit_ratio,hyphen_count,vowel_consonant_ratio,ngram_score,tld_risk_category,typosquatting_similarity,longest_consonant_run,unique_char_ratio,resolves_flag,rcode,num_a_records,min_ttl,mx_count,num_ns,has_spf,cname_present,num_aaaa_records,asn,geo_country,ptr_present,registrar,domain_age_days,registration_duration_days,privacy_protection_flag,abuseipdb_score,spamhaus_zen_listed,spamhaus_dbl_listed,mx_spamhaus_zen_listed,label,label_reason
boyboyth.net,2026-07-03,12,2.25,0.0,0,0.3333333333333333,-8.149923076923077,low,0.5,3,0.625,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,NAMECHEAP INC,4,365,True,0,False,False,,benign,no_adverse_signal
bookcraftedinsight.sbs,2026-07-03,22,3.8365916681089787,0.0,0,0.5,-6.951030303030303,low,0.56,3,0.8333333333333334,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,Dynadot Inc,4,365,False,0,False,False,,benign,no_adverse_signal
dwcapital.us,2026-07-03,12,2.94770277922009,0.0,0,0.5,-7.22716,low,0.5882,3,0.8888888888888888,True,NOERROR,2,600,1,2,False,False,0,16509,US,True,"GoDaddy.com, LLC",3,365,False,31,False,False,False,benign,no_adverse_signal
meetprodiax.com,2026-07-03,15,3.2776134368191165,0.0,0,0.8333333333333334,-6.9973210526315786,low,0.625,3,0.9090909090909091,True,NOERROR,2,300,5,2,True,False,2,13335,US,False,PDR Ltd. d/b/a PublicDomainRegistry.com,3,365,True,0,False,False,False,benign,no_adverse_signal
orenag.com,2026-07-03,10,2.584962500721156,0.0,0,1.0,-6.078433333333333,low,0.6667,1,1.0,True,NOERROR,1,600,2,2,True,False,0,16509,US,False,"GoDaddy.com, LLC",3,365,True,0,False,False,False,benign,no_adverse_signal
adornrelocation.com,2026-07-03,19,3.1898980954642866,0.0,0,0.875,-6.51417037037037,low,0.5455,3,0.6666666666666666,True,NOERROR,1,10800,0,2,False,False,0,16509,US,True,"TUCOWS.COM, CO.",3295,3652,True,0,False,False,,benign,no_adverse_signal
whereimat.app,2026-07-03,13,2.94770277922009,0.0,0,0.8,-6.63542,low,0.5333,2,0.8888888888888888,False,SERVFAIL,0,,0,0,False,False,0,,,,,,,False,,,False,,benign,no_adverse_signal
groupcsob.com,2026-07-03,13,2.94770277922009,0.0,0,0.5,-7.5065,low,0.5,3,0.8888888888888888,False,NOERROR,0,,1,3,True,False,0,,,,NAMECHEAP INC,3,365,True,,,False,False,benign,no_adverse_signal
letwereply.com,2026-07-03,14,2.6464393446710153,0.0,0,0.42857142857142855,-6.770364705882352,low,0.625,3,0.7,True,NOERROR,2,300,3,2,True,False,2,13335,US,False,"Cloudflare, Inc.",4,365,True,0,False,False,False,benign,no_adverse_signal
curatedailist.com,2026-07-03,17,3.238901256602631,0.0,0,0.8571428571428571,-6.282073913043478,low,0.5263,2,0.7692307692307693,True,NOERROR,2,1800,0,2,False,False,0,16509,US,False,NAMECHEAP INC,3,365,True,0,False,False,,benign,no_adverse_signal
shanfeldequities.ai,2026-07-03,19,3.452819531114783,0.0,0,0.7777777777777778,-7.218210344827586,low,0.5,2,0.75,True,NOERROR,3,3600,5,2,True,False,0,58182,US,True,"TUCOWS.COM, CO.",4,731,True,9,False,False,False,benign,no_adverse_signal
gameog.xyz,2026-07-03,10,2.2516291673878226,0.0,0,1.0,-6.719022222222223,high,0.6,1,0.8333333333333334,True,NOERROR,2,3600,1,2,True,False,0,16509,US,True,"GMO Internet, Inc.",3,365,True,71,False,False,,malicious,abuseipdb
paul-crick.com,2026-07-03,14,3.121928094887362,0.0,1,0.5,-7.561523529411764,low,0.5714,2,0.9,False,NOERROR,0,,3,2,True,False,0,,,,"TUCOWS.COM, CO.",4,365,True,,,False,False,benign,no_adverse_signal
restromithra.com,2026-07-03,16,3.0220552088742,0.0,0,0.5,-6.442338095238095,low,0.5,3,0.75,True,NOERROR,2,300,3,2,True,False,2,13335,US,False,"HOSTINGER operations, UAB",3,1096,False,0,False,False,False,benign,no_adverse_signal
specialpunks.xyz,2026-07-03,16,3.2516291673878226,0.0,0,0.5,-7.261485714285714,high,0.5,3,0.8333333333333334,True,NOERROR,2,3600,1,2,True,False,0,16509,US,True,"GMO Internet, Inc.",3,365,True,71,False,False,,malicious,abuseipdb
yre86.top,2026-07-03,9,2.321928094887362,0.2222222222222222,0,0.5,-10.0252,high,0.5,2,1.0,True,NOERROR,3,15,0,0,False,True,0,54801,SC,False,"GoDaddy.com, LLC",4,365,True,0,False,False,,benign,no_adverse_signal
careerssunrun.com,2026-07-03,17,2.7192945256669794,0.0,0,0.625,-6.9037434782608695,low,0.5,3,0.5384615384615384,False,NOERROR,0,,2,4,True,False,0,,,,"Name.com, Inc.",3,365,True,,,False,False,benign,no_adverse_signal
shgj01.top,2026-07-03,10,2.584962500721156,0.2,0,0.0,-10.854833333333334,high,0.4615,4,1.0,False,NOERROR,0,,0,2,False,False,0,,,,"NameSilo, LLC",3,365,True,,,False,,benign,no_adverse_signal
nikkdle.org,2026-07-03,11,2.5216406363433186,0.0,0,0.4,-8.369654545454544,low,0.5263,4,0.8571428571428571,False,NOERROR,0,,0,2,False,False,0,,,,"Cloudflare, Inc.",3,365,False,,,False,,benign,no_adverse_signal
eulio.app,2026-07-03,9,2.321928094887362,0.0,0,4.0,-7.441157142857143,low,0.6154,1,1.0,True,NOERROR,1,3600,2,4,True,False,1,8560,DE,True,,,,False,0,False,False,False,benign,no_adverse_signal
