domain,date_collected,domain_length,shannon_entropy,digit_ratio,hyphen_count,vowel_consonant_ratio,ngram_score,tld_risk_category,typosquatting_similarity,longest_consonant_run,unique_char_ratio,resolves_flag,rcode,num_a_records,min_ttl,mx_count,num_ns,has_spf,cname_present,num_aaaa_records,asn,geo_country,ptr_present,registrar,domain_age_days,registration_duration_days,privacy_protection_flag,abuseipdb_score,spamhaus_zen_listed,spamhaus_dbl_listed,mx_spamhaus_zen_listed,label,label_reason
housecallimaging.com,2026-07-25,20,3.5,0.0,0,0.7777777777777778,-6.325020689655172,low,0.48,2,0.75,True,NOERROR,2,600,0,2,False,False,0,16509,US,True,"GoDaddy.com, LLC",4,365,True,34,False,False,,benign,no_adverse_signal
kiarascleanservices.com,2026-07-25,23,3.1813663288914587,0.0,0,0.7272727272727273,-6.4145771428571425,low,0.6286,3,0.5263157894736842,True,NOERROR,3,3600,0,2,False,False,0,58182,US,True,Wix.com Ltd.,4,365,True,22,False,False,,benign,no_adverse_signal
aonike210.help,2026-07-25,14,3.169925001442312,0.21428571428571427,0,2.0,-8.288706666666666,low,0.5,1,1.0,False,NXDOMAIN,0,,0,0,False,False,0,,,,"GMO Internet, Inc.",5,365,True,,,False,,benign,no_adverse_signal
morningglorygifts.shop,2026-07-25,22,3.337175341123077,0.0,0,0.3076923076923077,-7.234219354838709,low,0.4444,4,0.6470588235294118,True,NOERROR,1,7200,1,2,False,False,0,40034,VG,False,,,,False,0,False,False,False,benign,no_adverse_signal
hao346.com,2026-07-25,10,2.584962500721156,0.3,0,2.0,-10.282133333333332,low,0.4444,1,1.0,False,timeout,0,,0,0,False,False,0,,,,West263 International Limited,5,365,True,,,False,,benign,no_adverse_signal
aurielle-fashion.com,2026-07-25,20,3.5,0.0,1,1.1428571428571428,-6.863658620689655,low,0.48,2,0.75,True,NOERROR,1,21600,0,4,False,False,1,13335,CA,True,"TUCOWS.COM, CO.",5,365,True,0,False,False,,benign,no_adverse_signal
vierwaende.ch,2026-07-25,13,2.8464393446710154,0.0,0,1.0,-7.142623529411765,low,0.5,2,0.8,True,NOERROR,1,900,1,2,True,False,0,39729,IT,False,,,,False,0,False,False,False,benign,no_adverse_signal
stableinscribe.com,2026-07-25,18,3.2359263506290334,0.0,0,0.5555555555555556,-6.628144,low,0.5833,4,0.7142857142857143,True,NOERROR,1,600,0,2,False,False,0,16509,US,False,"GoDaddy.com, LLC",5,365,True,0,False,False,,benign,no_adverse_signal
giant-arts.com,2026-07-25,14,2.9219280948873623,0.0,1,0.5,-6.822111764705882,low,0.7,3,0.8,True,NOERROR,1,300,0,2,False,False,0,54600,US,False,Gname 498 Inc,5,365,False,0,False,False,,benign,no_adverse_signal
60mincfoai.online,2026-07-25,17,3.121928094887362,0.11764705882352941,0,1.0,-8.37355294117647,medium,0.5,3,0.9,True,NOERROR,2,600,0,2,False,False,0,16509,US,True,"GoDaddy.com, LLC",5,365,False,34,False,False,,benign,no_adverse_signal
