domain,date_collected,domain_length,shannon_entropy,digit_ratio,hyphen_count,vowel_consonant_ratio,ngram_score,tld_risk_category,typosquatting_similarity,longest_consonant_run,unique_char_ratio,resolves_flag,rcode,num_a_records,min_ttl,mx_count,num_ns,has_spf,cname_present,num_aaaa_records,asn,geo_country,ptr_present,registrar,domain_age_days,registration_duration_days,privacy_protection_flag,abuseipdb_score,spamhaus_zen_listed,spamhaus_dbl_listed,mx_spamhaus_zen_listed,label,label_reason
catconsultant.xyz,2026-07-12,17,2.8731406795131336,0.0,0,0.4444444444444444,-6.466282608695653,high,0.5455,2,0.6153846153846154,True,NOERROR,2,3600,1,2,True,False,0,16509,US,True,"GMO Internet, Inc.",3,365,True,25,False,False,,benign,no_adverse_signal
motiondrift.online,2026-07-12,18,2.9139770731827523,0.0,0,0.5714285714285714,-6.663678947368421,medium,0.5455,3,0.7272727272727273,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,NAMECHEAP INC,3,365,True,0,False,False,,benign,no_adverse_signal
xtrenzoprs.buzz,2026-07-12,15,3.121928094887362,0.0,0,0.25,-7.531541176470589,high,0.5,3,0.9,True,NOERROR,2,300,0,2,False,False,0,13335,US,False,NAMECHEAP INC,3,365,True,0,False,False,,benign,no_adverse_signal
cinderfront.shop,2026-07-12,16,3.095795255000934,0.0,0,0.375,-6.460610526315789,low,0.6667,3,0.8181818181818182,True,NOERROR,2,3600,0,2,False,False,0,16509,US,True,,,,False,0,False,False,,benign,no_adverse_signal
pinguine.kr,2026-07-12,11,2.5,0.0,0,1.0,-6.388753846153846,low,0.625,2,0.75,True,NOERROR,2,3600,0,2,False,False,0,16509,US,True,"Inames Co., Ltd.(http://www.inames.co.kr)",4,365,False,22,False,False,,benign,no_adverse_signal
generatorhandbook.com,2026-07-12,21,3.337175341123077,0.0,0,0.7,-6.538316129032259,low,0.5,3,0.6470588235294118,True,NOERROR,1,1799,5,2,True,False,0,16509,US,True,NAMECHEAP INC,3,365,True,27,False,False,False,benign,no_adverse_signal
hjmanufacturing.tech,2026-07-12,20,3.506890595608518,0.0,0,0.5,-7.531862962962963,low,0.4,3,0.8,True,NOERROR,2,1799,5,2,True,False,0,16509,US,True,NAMECHEAP INC,3,365,True,0,False,False,False,benign,no_adverse_signal
726691.com,2026-07-12,10,2.2516291673878226,0.6,0,0.0,-11.219888888888889,low,0.2222,0,0.8333333333333334,False,NOERROR,0,,0,4,False,False,0,,,,"GoDaddy.com, LLC",3,365,False,,,False,,benign,no_adverse_signal
broxenyl-dengi.ru,2026-07-12,17,3.52164063634332,0.0,1,0.4444444444444444,-7.94744,low,0.4762,3,0.8571428571428571,True,NOERROR,1,3600,2,2,True,False,1,197695,RU,True,REGRU-RU,4,365,False,0,False,False,False,benign,no_adverse_signal
zephyrhq.info,2026-07-12,13,2.75,0.0,0,0.14285714285714285,-9.095984615384616,medium,0.4,6,0.875,True,NOERROR,2,300,1,2,True,False,2,13335,US,False,,,,,0,False,False,False,benign,no_adverse_signal
tag-fy.com,2026-07-12,10,2.584962500721156,0.0,1,0.25,-9.1197,low,0.4615,2,1.0,True,NOERROR,1,86400,1,2,True,False,0,24940,DE,True,PDR Ltd. d/b/a PublicDomainRegistry.com,3,365,False,0,False,False,False,benign,no_adverse_signal
shoelet.top,2026-07-12,11,2.521640636343318,0.0,0,0.75,-6.742136363636363,high,0.6667,2,0.8571428571428571,False,NOERROR,0,,0,2,False,False,0,,,,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),4,365,True,,,False,,benign,no_adverse_signal
frczech.blog,2026-07-12,12,2.5216406363433186,0.0,0,0.16666666666666666,-8.4241,low,0.5,4,0.8571428571428571,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,Global Domain Group LLC,3,365,True,0,False,False,,benign,no_adverse_signal
flagada.app,2026-07-12,11,2.1280852788913944,0.0,0,0.75,-6.864754545454545,low,0.5,2,0.7142857142857143,True,NOERROR,1,10800,2,3,True,False,0,29169,FR,True,,,,False,0,False,False,False,benign,no_adverse_signal
hypossexpe2.top,2026-07-12,15,2.913977073182752,0.06666666666666667,0,0.42857142857142855,-7.675326315789474,high,0.4762,3,0.7272727272727273,False,NOERROR,0,,0,2,False,False,0,,,,Dynadot LLC,3,365,True,,,False,,benign,no_adverse_signal
willowwynd.com,2026-07-12,14,2.6464393446710153,0.0,0,0.25,-8.122570588235293,low,0.5333,5,0.7,True,NOERROR,1,1800,5,2,True,False,0,22612,US,False,NAMECHEAP INC,3,365,True,0,False,False,False,benign,no_adverse_signal
goldenpalaceeventos.com,2026-07-12,23,3.4058222502856896,0.0,0,0.7272727272727273,-6.721437142857143,low,0.5143,2,0.631578947368421,False,NOERROR,0,,1,2,False,False,0,,,,"NameCheap, Inc.",3,365,False,,,False,False,benign,no_adverse_signal
homessale.shop,2026-07-12,14,2.725480556997868,0.0,0,0.8,-6.1844,low,0.5333,2,0.7777777777777778,True,NOERROR,1,900,1,3,True,False,0,14061,DE,False,,,,False,0,False,False,False,benign,no_adverse_signal
38915.top,2026-07-12,9,2.321928094887362,0.5555555555555556,0,0.0,-10.55122857142857,high,0.2857,0,1.0,True,NOERROR,1,600,0,4,False,False,0,62468,US,False,NameMart Pte. Ltd.,3,365,False,0,True,False,,malicious,spamhaus_zen
w7q4r9.com,2026-07-12,10,2.584962500721156,0.3,0,0.0,-13.472122222222222,low,0.3636,1,1.0,False,NOERROR,0,,0,2,False,False,0,,,,"GMO Internet, Inc.",3,365,True,,,False,,benign,no_adverse_signal
llmtoy.xyz,2026-07-12,10,2.2516291673878226,0.0,0,0.2,-8.201022222222223,high,0.5714,4,0.8333333333333334,True,NOERROR,2,3600,1,2,True,False,0,16509,US,True,"GMO Internet, Inc.",4,365,True,25,False,False,,benign,no_adverse_signal
forst-grossostheim.de,2026-07-12,21,3.239097917988786,0.0,1,0.4166666666666667,-6.926154545454545,low,0.4167,3,0.6111111111111112,True,NOERROR,1,150,1,2,False,False,1,6724,DE,True,,,,False,0,False,False,False,benign,no_adverse_signal
bajji365.ws,2026-07-12,11,2.75,0.2727272727272727,0,0.6666666666666666,-9.487307692307692,low,0.4706,2,0.875,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,DYNADOT LLC,5,365,True,0,False,False,,benign,no_adverse_signal
maisonfilms.io,2026-07-12,14,2.9139770731827523,0.0,0,0.5714285714285714,-6.927257894736842,low,0.5333,3,0.7272727272727273,True,NOERROR,4,14400,1,4,True,False,0,53831,US,False,Squarespace Domains LLC,4,365,True,21,False,False,False,benign,no_adverse_signal
vachaus.fr,2026-07-12,10,2.5216406363433186,0.0,0,0.75,-6.845218181818182,low,0.5333,2,0.8571428571428571,True,NOERROR,1,3600,2,4,True,False,1,8560,DE,True,IONOS SE,2,364,False,0,False,False,False,benign,no_adverse_signal
tarxy.io,2026-07-12,8,2.321928094887362,0.0,0,0.25,-7.990200000000001,low,0.6,3,1.0,True,NOERROR,2,600,5,2,False,False,0,16509,US,True,"GoDaddy.com, LLC",4,365,True,37,False,False,False,benign,no_adverse_signal
yangusjunk.com,2026-07-12,14,2.9219280948873623,0.0,0,0.42857142857142855,-7.782358823529413,low,0.4667,2,0.8,True,NOERROR,4,14400,0,4,True,False,0,53831,US,False,Squarespace Domains LLC,3,1096,True,21,False,False,,benign,no_adverse_signal
mountaintvguide.com,2026-07-12,19,3.373557262275185,0.0,0,0.875,-7.000685185185184,low,0.5385,4,0.7333333333333333,False,NOERROR,0,,3,2,True,False,0,,,,"Amazon Registrar, Inc.",3,365,True,,,False,False,benign,no_adverse_signal
4give8ters.com,2026-07-12,14,3.121928094887362,0.14285714285714285,0,0.6,-8.75491176470588,low,0.5882,2,0.9,False,NOERROR,0,,1,4,True,False,0,,,,"Wild West Domains, LLC",3,365,False,,,False,False,benign,no_adverse_signal
7play.store,2026-07-12,11,2.321928094887362,0.09090909090909091,0,0.3333333333333333,-7.6317,low,0.5455,2,1.0,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,,,,False,0,False,False,,benign,no_adverse_signal
jisuyan.com,2026-07-12,11,2.807354922057604,0.0,0,0.75,-8.061836363636363,low,0.5,1,1.0,True,NOERROR,1,1799,5,2,True,False,0,8796,SC,False,"NameCheap, Inc.",3,365,False,0,False,False,False,benign,no_adverse_signal
interodigitalmediaworks.com,2026-07-12,27,3.6539967386657093,0.0,0,0.7692307692307693,-6.479655813953489,low,0.4444,3,0.6086956521739131,True,NOERROR,2,300,4,2,True,False,2,13335,US,False,"Cloudflare, Inc.",3,365,True,0,False,False,False,benign,no_adverse_signal
kheal88.com,2026-07-12,11,2.521640636343318,0.18181818181818182,0,0.6666666666666666,-8.278463636363636,low,0.6154,2,0.8571428571428571,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,DYNADOT LLC,3,365,True,0,False,False,,benign,no_adverse_signal
61aa222.com,2026-07-12,11,1.8423709931771086,0.45454545454545453,0,2.0,-10.646081818181818,low,0.4,0,0.5714285714285714,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,DYNADOT LLC,3,365,True,0,False,False,,benign,no_adverse_signal
seallm.xyz,2026-07-12,10,2.251629167387823,0.0,0,0.5,-6.5459,high,0.6,3,0.8333333333333334,True,NOERROR,2,3600,1,2,True,False,0,16509,US,True,"GMO Internet, Inc.",4,365,True,25,False,False,,benign,no_adverse_signal
healthpicksdaily.com,2026-07-12,20,3.5,0.0,0,0.45454545454545453,-7.096082758620689,low,0.5455,4,0.75,True,NOERROR,1,50,0,2,False,False,0,47583,CY,False,"HOSTINGER operations, UAB",3,365,False,31,False,False,,benign,no_adverse_signal
inaqixof.shop,2026-07-12,13,2.75,0.0,0,1.0,-8.770438461538461,low,0.5,1,0.875,True,NOERROR,1,1800,0,2,False,False,0,396073,US,True,,,,False,0,False,False,,benign,no_adverse_signal
brightfuturescareservices.com,2026-07-12,29,3.4936606896881854,0.0,0,0.5625,-6.562778723404255,low,0.5366,4,0.52,True,NOERROR,2,600,0,2,False,False,0,16509,US,True,"GoDaddy.com, LLC",3,365,False,37,False,False,,benign,no_adverse_signal
caepp.com,2026-07-12,9,1.9219280948873623,0.0,0,0.6666666666666666,-8.086357142857143,low,0.6,2,0.8,True,NOERROR,1,600,0,2,False,False,0,132839,US,False,Dominet (HK) Limited,3,365,False,0,False,False,,benign,no_adverse_signal
sxxzrc.com,2026-07-12,10,2.2516291673878226,0.0,0,0.0,-10.509344444444444,low,0.4444,6,0.8333333333333334,True,NOERROR,1,600,0,2,False,False,0,54600,US,False,Eranet International Limited,3,365,True,0,False,False,,benign,no_adverse_signal
clientrail.xyz,2026-07-12,14,2.9219280948873623,0.0,0,0.6666666666666666,-6.161870588235295,high,0.625,3,0.8,True,NOERROR,2,3600,1,2,True,False,0,16509,US,True,"GMO Internet, Inc.",4,365,True,25,False,False,,benign,no_adverse_signal
beverlyhillshydration.com,2026-07-12,25,3.689703732199547,0.0,0,0.4,-7.1972641025641035,low,0.5,7,0.6666666666666666,True,NOERROR,1,3600,2,4,True,False,1,8560,US,True,IONOS SE,3,365,True,0,False,False,False,benign,no_adverse_signal
lienanalytics.xyz,2026-07-12,17,3.0850551027564768,0.0,0,0.625,-6.510604347826087,high,0.7586,3,0.6923076923076923,True,NOERROR,2,3600,1,2,True,False,0,16509,US,True,"GMO Internet, Inc.",3,365,True,25,False,False,,benign,no_adverse_signal
pghappyapp.com,2026-07-12,14,1.9609640474436814,0.0,0,0.25,-7.7565647058823535,low,0.5,3,0.5,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,Dominet (HK) Limited,3,365,False,0,False,False,,benign,no_adverse_signal
shan.solutions,2026-07-12,14,2.0,0.0,0,0.3333333333333333,-6.00168,low,0.6667,2,1.0,True,NOERROR,5,30,0,2,False,False,8,213230,US,True,,,,,0,False,False,,benign,no_adverse_signal
glorybound.shop,2026-07-12,15,3.121928094887362,0.0,0,0.42857142857142855,-6.9733,low,0.6667,3,0.9,True,NOERROR,1,300,0,2,False,False,0,199242,GE,False,,,,False,0,False,False,,benign,no_adverse_signal
dismate-offcial.com,2026-07-12,19,3.5068905956085183,0.0,1,0.75,-7.268777777777778,low,0.4615,3,0.8,True,NOERROR,1,3600,1,2,True,False,0,9371,JP,True,"Japan Registry Services Co.,Ltd.(JPRS)",3,365,False,0,False,False,False,benign,no_adverse_signal
evo67.info,2026-07-12,10,2.321928094887362,0.2,0,2.0,-10.206585714285714,medium,0.5455,1,1.0,True,NOERROR,1,14400,3,2,True,False,0,22612,US,True,,,,,0,False,False,False,benign,no_adverse_signal
trydimovpayroll.com,2026-07-12,19,3.3735572622751855,0.0,0,0.36363636363636365,-7.577044444444444,low,0.48,4,0.7333333333333333,False,NOERROR,0,,1,4,True,False,0,,,,PDR Ltd. d/b/a PublicDomainRegistry.com,3,365,True,,,False,False,benign,no_adverse_signal
techypoint.co.uk,2026-07-12,16,3.121928094887362,0.0,0,0.42857142857142855,-6.797864705882353,low,0.7,4,0.9,True,NOERROR,2,60,2,2,True,False,2,47583,LT,False,"Namecheap, Inc. [Tag = NAMECHEAP-INC]",5,365,False,0,False,False,False,benign,no_adverse_signal
icecube.wtf,2026-07-12,11,2.2359263506290326,0.0,0,1.3333333333333333,-6.874727272727273,low,0.5,1,0.7142857142857143,True,NOERROR,3,3600,0,2,False,False,0,63949,US,True,,,,,0,False,False,,benign,no_adverse_signal
jbfhjs.com,2026-07-12,10,2.2516291673878226,0.0,0,0.0,-11.016488888888889,low,0.4,6,0.8333333333333334,False,NOERROR,0,,0,2,False,False,0,,,,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),3,365,False,,,False,,benign,no_adverse_signal
txyl55.vip,2026-07-12,10,2.2516291673878226,0.2,0,0.0,-10.620011111111111,low,0.4615,4,0.8333333333333334,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,Gname.com Pte. Ltd.,3,365,True,0,False,False,,benign,no_adverse_signal
penalretail.co.uk,2026-07-12,17,2.9139770731827523,0.0,0,0.8333333333333334,-6.560852631578947,low,0.5882,2,0.7272727272727273,True,NOERROR,2,3600,0,2,False,False,0,16509,US,True,"GoDaddy.com, LLC. [Tag = GODADDY]",7,731,False,0,False,False,,benign,no_adverse_signal
phillipsai.xyz,2026-07-12,14,2.446439344671015,0.0,0,0.6666666666666666,-7.027588235294117,high,0.5,2,0.6,True,NOERROR,2,3600,1,2,True,False,0,16509,US,True,"GMO Internet, Inc.",3,365,True,25,False,False,,benign,no_adverse_signal
zgame66.buzz,2026-07-12,12,2.521640636343318,0.16666666666666666,0,0.6666666666666666,-8.492609090909092,high,0.5455,2,0.8571428571428571,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,"Spaceship, Inc.",3,365,False,0,False,False,,benign,no_adverse_signal
expatease.mx,2026-07-12,12,2.4193819456463714,0.0,0,1.25,-6.59356,low,0.75,2,0.6666666666666666,True,NOERROR,2,60,2,2,True,False,2,47583,LT,True,Registrar.eu,5,365,False,0,False,False,False,benign,no_adverse_signal
executiveapps.xyz,2026-07-12,17,3.180832987205441,0.0,0,0.8571428571428571,-7.116508695652174,high,0.5,3,0.7692307692307693,True,NOERROR,2,3600,1,2,True,False,0,16509,US,True,"GMO Internet, Inc.",3,365,True,25,False,False,,benign,no_adverse_signal
noebs.icu,2026-07-12,9,2.321928094887362,0.0,0,0.6666666666666666,-7.8403857142857145,low,0.6,2,1.0,False,NOERROR,0,,0,2,False,False,0,,,,"DNSPod, Inc.",3,365,False,,,False,,benign,no_adverse_signal
mightyfineflower.com,2026-07-12,20,3.625,0.0,0,0.45454545454545453,-7.188172413793104,low,0.4348,5,0.8125,True,NOERROR,2,3600,0,2,False,False,0,16509,US,True,"GoDaddy.com, LLC",3,365,False,22,False,False,,benign,no_adverse_signal
trailsmint.xyz,2026-07-12,14,2.9219280948873623,0.0,0,0.42857142857142855,-6.579676470588235,high,0.5714,3,0.8,True,NOERROR,2,3600,1,2,True,False,0,16509,US,True,"GMO Internet, Inc.",3,365,True,25,False,False,,benign,no_adverse_signal
490253r.com,2026-07-12,11,2.807354922057604,0.5454545454545454,0,0.0,-11.1469,low,0.3636,1,1.0,True,NOERROR,13,51,0,2,False,False,0,7483,TW,False,"GoDaddy.com, LLC",3,365,False,0,False,False,,benign,no_adverse_signal
americanbusinessgroup.net,2026-07-12,25,3.5944656369614516,0.0,0,0.75,-6.456897435897436,low,0.5,4,0.6190476190476191,True,NOERROR,1,14400,3,2,True,False,0,22612,US,True,"NameCheap, Inc.",4,365,False,0,False,False,False,benign,no_adverse_signal
petprouk.com,2026-07-12,12,2.75,0.0,0,0.6,-7.050661538461539,low,0.5263,3,0.875,True,NOERROR,1,86400,1,4,True,False,1,13335,CA,True,"TUCOWS.COM, CO.",3,365,True,0,False,False,False,benign,no_adverse_signal
