domain,date_collected,domain_length,shannon_entropy,digit_ratio,hyphen_count,vowel_consonant_ratio,ngram_score,tld_risk_category,typosquatting_similarity,longest_consonant_run,unique_char_ratio,resolves_flag,rcode,num_a_records,min_ttl,mx_count,num_ns,has_spf,cname_present,num_aaaa_records,asn,geo_country,ptr_present,registrar,domain_age_days,registration_duration_days,privacy_protection_flag,abuseipdb_score,spamhaus_zen_listed,spamhaus_dbl_listed,mx_spamhaus_zen_listed,label,label_reason
lucrecomloja.com,2026-07-15,16,3.084962500721156,0.0,0,0.7142857142857143,-7.509261904761905,low,0.5185,2,0.75,True,NOERROR,2,60,0,2,False,False,2,47583,LT,True,"HOSTINGER operations, UAB",2,365,False,0,False,False,,benign,no_adverse_signal
14023.ee,2026-07-15,8,2.321928094887362,0.625,0,0.0,-10.742914285714287,low,0.5,0,1.0,True,NOERROR,4,60,0,2,False,True,0,40065,US,False,ALMIC OÜ,2,365,False,0,False,False,,benign,no_adverse_signal
olivetreedispensary.com,2026-07-15,23,3.5110854081804264,0.0,0,0.7272727272727273,-6.412771428571428,low,0.4828,2,0.6842105263157895,True,NOERROR,4,14400,0,4,True,False,0,53831,US,False,Squarespace Domains LLC,2,1096,True,21,False,False,,benign,no_adverse_signal
sejaldigital.co.in,2026-07-15,18,3.084962500721156,0.0,0,0.7142857142857143,-7.039090476190476,low,0.5217,2,0.75,True,NOERROR,1,1400,1,3,True,False,0,133719,IN,True,"GoDaddy.com, LLC",4,365,False,0,False,False,False,benign,no_adverse_signal
outviam.store,2026-07-15,13,2.807354922057604,0.0,0,1.3333333333333333,-7.133772727272728,low,0.5455,2,1.0,True,NOERROR,1,1799,5,2,True,False,0,134677,US,True,,,,False,0,False,False,False,benign,no_adverse_signal
jiahbsys.pics,2026-07-15,13,2.75,0.0,0,0.3333333333333333,-8.742430769230769,low,0.5333,5,0.875,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,"Spaceship, Inc.",1,365,False,0,False,False,,benign,no_adverse_signal
agmlcepw.cn,2026-07-15,11,3.0,0.0,0,0.3333333333333333,-8.677846153846154,low,0.5714,4,1.0,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,厦门市中资源网络服务有限公司,3,365,False,0,False,False,,benign,no_adverse_signal
audioloop.red,2026-07-15,13,2.6416041678685933,0.0,0,2.0,-6.857286666666667,low,0.5,1,0.7777777777777778,False,NOERROR,0,,1,2,False,False,0,,,,,,,,,,False,True,benign,no_adverse_signal
olahamaa.com,2026-07-15,12,2.0,0.0,0,1.6666666666666667,-6.949707692307692,low,0.5714,1,0.625,True,NOERROR,2,600,0,2,False,False,0,16509,US,True,"GoDaddy.com, LLC",2,365,True,38,False,False,,benign,no_adverse_signal
oo999.bet,2026-07-15,9,0.9709505944546686,0.3333333333333333,0,2.0,-9.631757142857143,low,0.5,0,0.4,True,NOERROR,1,300,0,2,False,False,0,206834,DE,False,,,,,19,False,False,,benign,no_adverse_signal
integritybookhaven.shop,2026-07-15,23,3.6143694458867563,0.0,0,0.6363636363636364,-6.958857575757576,low,0.4828,3,0.7222222222222222,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,,,,False,0,False,False,,benign,no_adverse_signal
uscoins.fyi,2026-07-15,11,2.5216406363433186,0.0,0,0.75,-6.496572727272727,low,0.5714,2,0.8571428571428571,True,NOERROR,1,600,0,2,False,False,0,,,False,,,,,0,False,False,,benign,no_adverse_signal
topbetaustralia.com,2026-07-15,19,3.2729055953200556,0.0,0,0.875,-6.566492592592592,low,0.5,3,0.7333333333333333,True,NOERROR,2,300,0,2,False,False,0,16509,US,True,"Spaceship, Inc.",2,365,False,9,False,False,,benign,no_adverse_signal
jojictoonsol.com,2026-07-15,16,2.751629167387823,0.0,0,0.7142857142857143,-7.308161904761905,low,0.56,2,0.6666666666666666,True,NOERROR,1,86400,0,2,False,False,0,16509,US,True,"TUCOWS.COM, CO.",736,1095,True,1,False,False,,benign,no_adverse_signal
hotxrvc.shop,2026-07-15,12,2.807354922057604,0.0,0,0.16666666666666666,-9.083072727272727,low,0.6154,5,1.0,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,,,,False,0,False,False,,benign,no_adverse_signal
t39i.biz,2026-07-15,8,2.0,0.25,0,1.0,-12.345920000000001,low,0.5,1,1.0,True,NOERROR,2,300,0,2,False,False,0,16509,US,True,"Spaceship, Inc.",1,,True,1,False,False,,benign,no_adverse_signal
fantasiahaircares.shop,2026-07-15,22,3.051601636871704,0.0,0,0.8888888888888888,-6.518296774193549,low,0.4667,2,0.5882352941176471,True,NOERROR,1,300,0,2,False,False,0,199242,US,False,,,,False,0,False,False,,benign,no_adverse_signal
xcyun.shop,2026-07-15,10,2.321928094887362,0.0,0,0.25,-8.7809,low,0.5455,3,1.0,False,timeout,0,,0,0,False,False,0,,,,,,,False,,,False,,benign,no_adverse_signal
velvethelmet.store,2026-07-15,18,2.4182958340544896,0.0,0,0.5,-6.865142857142858,low,0.6,2,0.5,True,NOERROR,1,1800,1,2,False,False,0,22612,US,False,,,,False,0,False,False,False,benign,no_adverse_signal
lucky-sanjie.site,2026-07-15,17,3.584962500721156,0.0,1,0.5714285714285714,-7.883857142857143,medium,0.4444,3,1.0,False,NOERROR,0,,0,2,False,False,0,,,,"DNSPod, Inc.",1,1096,False,,,False,,benign,no_adverse_signal
siluetta.store,2026-07-15,14,2.75,0.0,0,1.0,-7.150184615384616,low,0.5,2,0.875,True,NOERROR,1,86400,0,2,False,False,0,16509,US,True,,,,False,1,False,False,,benign,no_adverse_signal
whoislookupp.info,2026-07-15,17,3.0220552088742005,0.0,0,0.7142857142857143,-7.413114285714285,medium,0.5263,2,0.75,True,NOERROR,1,45,1,2,True,False,0,133618,AU,True,,,,,0,False,False,False,benign,no_adverse_signal
100zz.pro,2026-07-15,9,1.5219280948873621,0.3333333333333333,0,0.0,-10.924142857142858,low,0.3636,2,0.6,True,NOERROR,1,300,0,2,False,False,0,206834,DE,False,,,,,19,False,False,,benign,no_adverse_signal
somnashop.com,2026-07-15,13,2.725480556997868,0.0,0,0.5,-7.0352733333333335,low,0.5556,2,0.7777777777777778,True,NOERROR,1,86400,0,4,False,False,1,13335,CA,True,"TUCOWS.COM, CO.",2,365,True,0,False,False,,benign,no_adverse_signal
mutang.xyz,2026-07-15,10,2.584962500721156,0.0,0,0.5,-6.667111111111111,high,0.6154,2,1.0,False,NOERROR,0,,0,2,False,False,0,,,,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),2,365,False,,,False,,benign,no_adverse_signal
kbbdjx.com,2026-07-15,10,2.2516291673878226,0.0,0,0.0,-10.159322222222222,low,0.4444,6,0.8333333333333334,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,NAMECHEAP INC,2,365,True,0,False,False,,benign,no_adverse_signal
