domain,date_collected,domain_length,shannon_entropy,digit_ratio,hyphen_count,vowel_consonant_ratio,ngram_score,tld_risk_category,typosquatting_similarity,longest_consonant_run,unique_char_ratio,resolves_flag,rcode,num_a_records,min_ttl,mx_count,num_ns,has_spf,cname_present,num_aaaa_records,asn,geo_country,ptr_present,registrar,domain_age_days,registration_duration_days,privacy_protection_flag,abuseipdb_score,spamhaus_zen_listed,spamhaus_dbl_listed,mx_spamhaus_zen_listed,label,label_reason
coslus-list.com,2026-07-27,15,2.8453509366224368,0.0,1,0.42857142857142855,-7.189842105263158,low,0.5,2,0.7272727272727273,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,"Vantage of Convergence (Chengdu) Technology Co., Ltd.",3,365,False,0,False,False,,benign,no_adverse_signal
idlewildboutique.com,2026-07-27,20,3.202819531114783,0.0,0,1.0,-7.547286206896551,low,0.5185,3,0.625,True,NOERROR,1,1800,5,2,True,False,0,22612,US,False,NAMECHEAP INC,3,365,True,0,False,False,False,benign,no_adverse_signal
foodipics.com,2026-07-27,13,2.725480556997868,0.0,0,0.8,-7.00368,low,0.5263,2,0.7777777777777778,True,NOERROR,1,1,0,2,False,False,0,139880,SC,False,TuringSign Inc. d/b/a Cosmotown,3,365,False,0,False,False,,benign,no_adverse_signal
andstridemusic.com,2026-07-27,18,3.378783493486176,0.0,0,0.5555555555555556,-6.4782399999999996,low,0.5714,5,0.7857142857142857,True,NOERROR,1,1799,5,2,True,False,0,16509,US,True,NAMECHEAP INC,3,365,True,24,False,False,False,benign,no_adverse_signal
socialsaver.site,2026-07-27,16,3.0957952550009344,0.0,0,0.8333333333333334,-6.650878947368422,medium,0.5455,2,0.8181818181818182,True,NOERROR,5,600,0,2,False,False,5,63949,DE,True,Atom.com Domains LLC,3,365,False,0,False,False,,benign,no_adverse_signal
oasis-sphere.net,2026-07-27,16,3.0220552088742005,0.0,1,0.8333333333333334,-7.035061904761905,low,0.5,3,0.75,False,NOERROR,0,,0,2,False,False,0,,,,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),4,365,False,,,False,,benign,no_adverse_signal
polybhandbook.ca,2026-07-27,16,3.180832987205441,0.0,0,0.4444444444444444,-7.3319478260869575,low,0.5,4,0.7692307692307693,False,NOERROR,0,,0,2,False,False,0,,,,CENTRALNIC CANADA INC,4,365,True,,,False,,benign,no_adverse_signal
yuanyang.space,2026-07-27,14,2.25,0.0,0,0.6,-7.188030769230769,low,0.5,2,0.625,True,NOERROR,1,600,0,2,False,False,0,37963,CN,False,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),3,365,False,0,True,False,,malicious,spamhaus_zen
whiterabbitband.bond,2026-07-27,20,3.1898980954642875,0.0,0,0.5,-6.756485185185185,low,0.4762,2,0.6666666666666666,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,Gname.com Pte. Ltd.,3,365,True,0,False,False,,benign,no_adverse_signal
pavingcontractorwichita.com,2026-07-27,27,3.4357554339416274,0.0,0,0.5333333333333333,-6.648632558139536,low,0.5,3,0.5217391304347826,True,NOERROR,1,510,1,2,True,False,0,133618,AU,True,"TUCOWS.COM, CO.",3,365,True,0,False,False,False,benign,no_adverse_signal
mweb-ads.ru,2026-07-27,11,3.0,0.0,1,0.4,-7.970176923076924,low,0.5556,2,1.0,True,NOERROR,1,600,2,6,True,False,0,51115,RU,False,BEGET-RU,4,365,False,0,False,False,False,benign,no_adverse_signal
refuerza-t.online,2026-07-27,17,2.9219280948873623,0.0,1,0.8,-8.17884705882353,medium,0.5882,2,0.8,True,NOERROR,2,60,0,2,False,False,2,47583,DE,False,"HOSTINGER operations, UAB",3,365,False,2,False,False,,benign,no_adverse_signal
juliaborrellpsicologia.com,2026-07-27,26,3.481714572986072,0.0,0,0.8333333333333334,-7.070109756097561,low,0.4138,4,0.5909090909090909,True,NOERROR,1,300,0,2,False,False,0,16509,US,True,"Cloudflare, Inc.",3,365,True,24,False,False,,benign,no_adverse_signal
thedraj.com,2026-07-27,11,2.807354922057604,0.0,0,0.4,-6.981781818181818,low,0.5714,2,1.0,True,NOERROR,2,600,0,2,False,False,0,16509,US,True,"GoDaddy.com, LLC",3,365,True,34,False,False,,benign,no_adverse_signal
guafu2.info,2026-07-27,11,2.2516291673878226,0.09090909090909091,0,1.5,-9.07168888888889,medium,0.4444,1,0.8333333333333334,False,NXDOMAIN,0,,0,0,False,False,0,,,,,,,,,,False,,benign,no_adverse_signal
tl8828.com,2026-07-27,10,1.7924812503605778,0.4,0,0.0,-10.346322222222222,low,0.4,2,0.6666666666666666,True,NOERROR,2,10800,0,2,True,False,2,14618,US,True,DropCatch.com 650 LLC,3,365,False,3,False,False,,benign,no_adverse_signal
topoddsradar.com,2026-07-27,16,2.688721875540867,0.0,0,0.5,-7.217066666666667,low,0.4762,4,0.5833333333333334,False,NOERROR,0,,0,2,False,False,0,,,,"Cloudflare, Inc.",3,365,True,,,False,,benign,no_adverse_signal
gunresort.pl,2026-07-27,12,2.94770277922009,0.0,0,0.5,-6.822093333333333,low,0.5556,2,0.8888888888888888,True,NOERROR,1,900,2,2,True,False,0,48896,PL,True,dhosting.pl Sp. z o.o.,10,365,False,0,False,False,False,benign,no_adverse_signal
