domain,date_collected,domain_length,shannon_entropy,digit_ratio,hyphen_count,vowel_consonant_ratio,ngram_score,tld_risk_category,typosquatting_similarity,longest_consonant_run,unique_char_ratio,resolves_flag,rcode,num_a_records,min_ttl,mx_count,num_ns,has_spf,cname_present,num_aaaa_records,asn,geo_country,ptr_present,registrar,domain_age_days,registration_duration_days,privacy_protection_flag,abuseipdb_score,spamhaus_zen_listed,spamhaus_dbl_listed,mx_spamhaus_zen_listed,label,label_reason
f168l.pro,2026-07-21,9,2.321928094887362,0.3333333333333333,0,0.0,-11.098457142857143,low,0.5,1,1.0,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,,,,,0,False,False,,benign,no_adverse_signal
westlinnpaintingcontractors.org,2026-07-21,31,3.482127206733829,0.0,0,0.42105263157894735,-6.449003921568628,low,0.45,3,0.48148148148148145,True,NOERROR,2,3600,0,2,False,False,0,16509,US,True,"GoDaddy.com, LLC",2,365,False,11,False,False,,benign,no_adverse_signal
rajpurohitshadi.cyou,2026-07-21,20,3.3735572622751855,0.0,0,0.6666666666666666,-7.538422222222222,low,0.4545,3,0.7333333333333333,False,NOERROR,0,,0,2,False,False,0,,,,Dynadot Inc,2,365,False,,,False,,benign,no_adverse_signal
worlddying.com,2026-07-21,14,3.121928094887362,0.0,0,0.25,-7.290688235294118,low,0.6667,5,0.9,True,NOERROR,2,600,0,2,False,False,0,16509,US,True,"GoDaddy.com, LLC",2,365,False,35,False,False,,benign,no_adverse_signal
charleysbeadsandmore.com,2026-07-21,24,3.546439344671015,0.0,0,0.5384615384615384,-7.000743243243242,low,0.4667,3,0.65,True,NOERROR,3,3600,0,2,False,False,0,58182,US,True,Wix.com Ltd.,2,365,True,17,False,False,,benign,no_adverse_signal
087626.lol,2026-07-21,10,2.251629167387823,0.6,0,0.0,-10.921244444444445,low,0.2222,0,0.8333333333333334,False,NXDOMAIN,0,,0,0,False,False,0,,,,,,,False,,,False,,benign,no_adverse_signal
airobotcorp.com,2026-07-21,15,2.8453509366224368,0.0,0,0.8333333333333334,-6.888226315789473,low,0.5,2,0.7272727272727273,True,NOERROR,2,10800,0,2,True,False,2,14618,US,True,DropCatch.com 1529 LLC,2,365,False,0,False,False,,benign,no_adverse_signal
parvaziran.cloud,2026-07-21,16,2.6464393446710153,0.0,0,0.6666666666666666,-7.1769823529411765,low,0.5882,2,0.7,True,NOERROR,1,300,0,2,False,False,0,202468,IR,False,CSL Computer Service Langenbach GmbH d/b/a joker.com,2,365,False,0,True,False,,malicious,spamhaus_zen
apartaya.mx,2026-07-21,11,2.0,0.0,0,1.0,-6.560207692307693,low,0.5333,2,0.625,True,NOERROR,2,3600,0,2,False,False,0,16509,US,True,GoDaddy.com,4,365,False,23,False,False,,benign,no_adverse_signal
locacivil.com,2026-07-21,13,2.5032583347756456,0.0,0,0.8,-6.9082333333333334,low,0.5333,1,0.6666666666666666,True,NOERROR,1,1800,5,2,True,False,0,22612,US,False,NAMECHEAP INC,2,365,True,0,False,False,False,benign,no_adverse_signal
as6.mom,2026-07-21,7,1.584962500721156,0.14285714285714285,0,1.0,-9.1502,low,0.6667,1,1.0,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,"Spaceship, Inc.",2,365,False,0,False,False,,benign,no_adverse_signal
fegme.com,2026-07-21,9,1.9219280948873623,0.0,0,0.6666666666666666,-8.768028571428571,low,0.5714,2,0.8,True,NOERROR,1,1,0,2,False,False,0,54600,US,False,"GMO Internet, Inc.",2,365,True,0,False,False,,benign,no_adverse_signal
rs-nnvs.garden,2026-07-21,14,2.2359263506290326,0.0,1,0.0,-9.02049090909091,low,0.5,4,0.7142857142857143,False,NOERROR,0,,0,2,False,False,0,,,,"Spaceship, Inc.",2,365,True,,,False,,benign,no_adverse_signal
