domain,date_collected,domain_length,shannon_entropy,digit_ratio,hyphen_count,vowel_consonant_ratio,ngram_score,tld_risk_category,typosquatting_similarity,longest_consonant_run,unique_char_ratio,resolves_flag,rcode,num_a_records,min_ttl,mx_count,num_ns,has_spf,cname_present,num_aaaa_records,asn,geo_country,ptr_present,registrar,domain_age_days,registration_duration_days,privacy_protection_flag,abuseipdb_score,spamhaus_zen_listed,spamhaus_dbl_listed,mx_spamhaus_zen_listed,label,label_reason
sturqen.com,2026-07-29,11,2.807354922057604,0.0,0,0.4,-8.475254545454545,low,0.6154,2,1.0,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,Dynadot Inc,3,365,False,0,False,False,,benign,no_adverse_signal
gentedifalchera.org,2026-07-29,19,3.456564762130954,0.0,0,0.6666666666666666,-6.523077777777778,low,0.5217,3,0.8,True,NOERROR,1,3600,3,2,True,False,0,16276,FR,True,OVH sas,738,1095,False,20,False,False,False,benign,no_adverse_signal
vitalpost.store,2026-07-29,15,2.94770277922009,0.0,0,0.5,-6.37976,low,0.5714,2,0.8888888888888888,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,,,,False,0,False,False,,benign,no_adverse_signal
xhaeszld.top,2026-07-29,12,3.0,0.0,0,0.3333333333333333,-9.0216,high,0.5,4,1.0,False,NOERROR,0,,0,2,False,False,0,,,,GoDaddy.com,3,365,True,,,False,,benign,no_adverse_signal
xn--hu1b83jpnl8pa7e440ezqa79c.com,2026-07-29,33,4.306256857196537,0.30303030303030304,2,0.4166666666666667,-11.340361818181819,low,0.2632,4,0.7241379310344828,True,NOERROR,2,180,0,4,False,False,0,16509,US,True,"Megazone Corp., dba HOSTING.KR",4,365,True,0,False,False,,benign,no_adverse_signal
varmentguardbirdcontrol.com,2026-07-29,27,3.7409532604048397,0.0,0,0.4375,-7.056583720930234,low,0.5,3,0.6521739130434783,True,NOERROR,1,300,0,4,False,False,0,13335,DE,True,"Name.com, Inc.",3,365,True,64,False,False,,malicious,abuseipdb
fhdnem.shop,2026-07-29,11,2.584962500721156,0.0,0,0.2,-8.10651111111111,low,0.5455,4,1.0,True,NOERROR,1,300,0,2,False,False,0,63949,US,True,,,,False,13,False,False,,benign,no_adverse_signal
ecocompar.com,2026-07-29,13,2.725480556997868,0.0,0,0.8,-6.4604800000000004,low,0.5333,2,0.7777777777777778,True,NOERROR,1,21600,1,4,True,False,0,210403,FR,False,LWS dba Ligne Web Services,3,365,False,0,False,False,False,benign,no_adverse_signal
nimbusshore9.surf,2026-07-29,17,3.418295834054489,0.058823529411764705,0,0.5714285714285714,-7.341209523809524,low,0.4706,3,0.9166666666666666,True,NOERROR,1,20,0,2,False,False,0,209242,US,True,Dynadot Inc,3,365,True,0,False,False,,benign,no_adverse_signal
summitpatientllc.com,2026-07-29,20,3.327819531114783,0.0,0,0.45454545454545453,-7.222051724137931,low,0.5455,5,0.6875,True,NOERROR,1,300,0,2,False,False,0,206834,DE,False,Dynadot Inc,3,365,False,24,False,False,,benign,no_adverse_signal
pekedaca.blog,2026-07-29,13,2.5,0.0,0,1.0,-7.297507692307692,low,0.5,1,0.75,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,"Spaceship, Inc.",3,365,True,0,False,False,,benign,no_adverse_signal
gikochan.net,2026-07-29,12,3.0,0.0,0,0.6,-7.143023076923077,low,0.5882,2,1.0,True,NOERROR,1,60,0,3,False,False,0,26347,US,True,DREAMHOST,4,365,True,0,False,False,,benign,no_adverse_signal
atheer.company,2026-07-29,14,2.251629167387823,0.0,0,1.0,-6.266555555555556,low,0.7692,2,0.8333333333333334,False,NOERROR,0,,1,2,True,False,0,,,,,,,,,,False,False,benign,no_adverse_signal
aipet3d.xyz,2026-07-29,11,2.807354922057604,0.09090909090909091,0,1.0,-8.436900000000001,high,0.5714,1,1.0,True,NOERROR,1,1800,0,2,False,False,0,22612,US,False,NAMECHEAP INC,3,365,True,0,False,False,,benign,no_adverse_signal
lomafira.com,2026-07-29,12,2.75,0.0,0,1.0,-6.928084615384615,low,0.5333,1,0.875,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,"NameSilo, LLC",3,365,True,0,False,False,,benign,no_adverse_signal
luxurymewah.shop,2026-07-29,16,3.2776134368191165,0.0,0,0.5714285714285714,-8.14961052631579,low,0.381,3,0.9090909090909091,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,,,,False,0,False,False,,benign,no_adverse_signal
oskleopard.pl,2026-07-29,13,3.121928094887362,0.0,0,0.6666666666666666,-7.189676470588235,low,0.5,3,0.9,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,cyber_Folks S.A.,3,365,False,0,False,False,,benign,no_adverse_signal
slitherinnreptileroom.org,2026-07-29,25,3.3320953986601696,0.0,0,0.6153846153846154,-6.71553076923077,low,0.4286,3,0.5238095238095238,True,NOERROR,1,1799,5,2,True,False,0,22612,US,False,NAMECHEAP INC,3,365,True,0,False,False,False,benign,no_adverse_signal
noblevalleymanagement.com,2026-07-29,25,3.236857303422074,0.0,0,0.6153846153846154,-6.697205128205128,low,0.5405,2,0.5238095238095238,True,NOERROR,4,14400,5,4,True,False,0,53831,US,False,Squarespace Domains LLC,388,730,True,29,False,False,False,benign,no_adverse_signal
hgr-partners.com,2026-07-29,16,3.188721875540867,0.0,1,0.2222222222222222,-7.317952380952381,low,0.5263,3,0.8333333333333334,True,NOERROR,1,150,1,2,False,False,1,8560,DE,True,InterNetX GmbH,3,365,True,0,False,False,False,benign,no_adverse_signal
evaraworld.net,2026-07-29,14,2.9219280948873623,0.0,0,0.6666666666666666,-6.952294117647059,low,0.5556,3,0.8,True,NOERROR,2,600,0,2,False,False,0,16509,US,True,"GoDaddy.com, LLC",4,365,False,46,False,False,,benign,no_adverse_signal
hov1.click,2026-07-29,10,2.0,0.1,0,0.5,-9.04614,medium,0.5714,1,1.0,True,NOERROR,1,360,5,2,True,False,0,396982,US,True,NAMECHEAP INC,3,365,False,0,False,False,False,benign,no_adverse_signal
okadaonlinecasinoapklatestversion.click,2026-07-29,39,3.593657665390962,0.0,0,0.8333333333333334,-6.6726253968253975,medium,0.375,3,0.42424242424242425,False,NOERROR,0,,0,2,False,False,0,,,,"Dynadot, LLC",3,365,False,,,False,,benign,no_adverse_signal
mysiteimprovements.com,2026-07-29,22,3.30827083453526,0.0,0,0.5,-6.738115151515151,low,0.5,3,0.6111111111111112,True,NOERROR,4,14400,1,4,True,False,0,53831,US,False,Squarespace Domains II LLC,3,365,True,29,False,False,False,benign,no_adverse_signal
whispertornado.shop,2026-07-29,19,3.521640636343319,0.0,0,0.5555555555555556,-6.588964,low,0.5,2,0.8571428571428571,False,NOERROR,0,,0,2,False,False,0,,,,,,,False,,,False,,benign,no_adverse_signal
agathepopot-sophrologiedynamique.com,2026-07-29,36,3.941428031846024,0.0,1,0.8235294117647058,-7.322437704918033,low,0.35,3,0.5625,True,NOERROR,1,21600,1,4,True,False,1,210403,FR,False,LWS dba Ligne Web Services,3,365,False,0,False,False,False,benign,no_adverse_signal
