domain,date_collected,domain_length,shannon_entropy,digit_ratio,hyphen_count,vowel_consonant_ratio,ngram_score,tld_risk_category,typosquatting_similarity,longest_consonant_run,unique_char_ratio,resolves_flag,rcode,num_a_records,min_ttl,mx_count,num_ns,has_spf,cname_present,num_aaaa_records,asn,geo_country,ptr_present,registrar,domain_age_days,registration_duration_days,privacy_protection_flag,abuseipdb_score,spamhaus_zen_listed,spamhaus_dbl_listed,mx_spamhaus_zen_listed,label,label_reason
603555.cn,2026-07-05,9,1.792481250360578,0.6666666666666666,0,0.0,-10.371222222222222,low,0.4444,0,0.6666666666666666,True,NOERROR,1,900,0,2,False,False,0,45102,HK,False,北京新网数码信息技术有限公司,15,365,False,0,False,False,,benign,no_adverse_signal
puppenflohmarkt.de,2026-07-05,18,3.589898095464287,0.0,0,0.36363636363636365,-7.5386444444444445,low,0.4615,3,0.8666666666666667,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,,,,False,0,False,False,,benign,no_adverse_signal
jasmalightklee.help,2026-07-05,19,3.378783493486176,0.0,0,0.5555555555555556,-7.58248,low,0.5217,5,0.7857142857142857,False,NOERROR,0,,0,2,False,False,0,,,,Porkbun LLC,2,365,False,,,False,,benign,no_adverse_signal
pomnim.digital,2026-07-05,14,2.2516291673878226,0.0,0,0.5,-7.418055555555556,low,0.5,2,0.8333333333333334,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,,,,,0,,False,,benign,no_adverse_signal
xabclpptr.shop,2026-07-05,14,2.94770277922009,0.0,0,0.125,-8.718979999999998,low,0.4706,7,0.8888888888888888,True,NOERROR,1,300,0,2,False,False,0,132203,US,False,,,,False,18,True,False,,malicious,spamhaus_zen
edboyclub.xyz,2026-07-05,13,2.94770277922009,0.0,0,0.5,-7.705073333333333,high,0.4706,3,0.8888888888888888,True,NOERROR,2,40,0,4,False,False,0,16509,US,True,Porkbun LLC,382,730,False,0,False,False,,benign,no_adverse_signal
useagentex.com,2026-07-05,14,2.8464393446710154,0.0,0,1.0,-6.224441176470588,low,0.5556,2,0.8,True,NOERROR,2,300,0,2,False,False,0,16509,US,True,"Spaceship, Inc.",2,365,False,1,False,False,,benign,no_adverse_signal
dentsam.online,2026-07-05,14,2.807354922057604,0.0,0,0.4,-6.299254545454545,medium,0.6,3,1.0,True,NOERROR,1,3600,0,2,True,False,0,34619,TR,True,Nics Telekomunikasyon A.S.,2,365,True,2,False,False,,benign,no_adverse_signal
prodottiprofessionalituttocapellifaidate.bologna.it,2026-07-05,51,3.5970851333950873,0.0,0,0.8181818181818182,-6.729263636363636,low,0.3273,2,0.35,False,NXDOMAIN,0,,0,0,False,False,0,,,,,,,,,,False,,benign,no_adverse_signal
blossompgapk.com,2026-07-05,16,3.084962500721156,0.0,0,0.3333333333333333,-7.460361904761904,low,0.5714,3,0.75,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,Dominet (HK) Limited,2,365,False,0,False,False,,benign,no_adverse_signal
